start_Node,target_Node,PPREstimate,start_Time,end_Time,Time taken,frontier_Size,walkCount,walks_Hitting_Frontier,nodesCrossed_Count
23,11445,0.008040006,121443.6603,121443.662,0.00169261,14,0,0,0
25,13824,0.034225742,121452.364,121452.3793,0.015305684,117,0,0,0
27,24183,0.032259437,121465.6759,121465.6824,0.006537437,32,0,0,0
23584,17450,0.021100154,121482.9796,121483.0146,0.034990873,186,0,0,0
23601,22512,0.002830721,121492.7234,121492.7286,0.005106913,27,0,0,0
23608,22214,0.006991309,121502.699,121502.7079,0.008891763,44,0,0,0
23623,23258,0.032309484,121524.0681,121524.0794,0.011370631,26,0,0,0
23618,18993,94.16499565,121538.5149,121539.1633,0.648376076,136,29162.58305,0,0
22859,17126,0.005342222,121553.034,121553.1798,0.145813211,512,0,0,0
21953,13302,0.017896956,121569.0256,121571.7358,2.710193126,4053,0,0,0
17652,10565,0.055651037,121617.3369,121617.5279,0.1909813,550,0,0,0
11534,10335,0.060771617,121631.8168,121632.3999,0.583101271,1583,0,0,0
10816,10299,0,121644.7291,121644.9663,0.237201839,163,29162.58305,0,0
10280,7810,0,121656.3199,121656.8382,0.518307869,12,29162.58305,0,0
10281,6191,0,121664.7195,121665.6013,0.881872101,21,29162.58305,0,0
